Date,Open,High,Low,Close,Adj Close,Volume
2023/4/17,186.320007,189.690002,182.690002,187.039993,187.039993,116662200
2023/4/14,183.949997,186.279999,182.009995,185,185,96306500
2023/4/13,182.960007,186.5,180.940002,185.899994,185.899994,112933000
2023/4/12,190.740005,191.580002,180.309998,180.539993,180.539993,150256300
2023/4/11,186.690002,189.190002,185.649994,186.789993,186.789993,115770900
2023/4/10,179.940002,185.100006,176.110001,184.509995,184.509995,142154600
2023/4/6,183.080002,186.389999,179.740005,185.059998,185.059998,123857900
2023/4/5,190.520004,190.679993,183.759995,185.520004,185.520004,133882500
2023/4/4,197.320007,198.740005,190.320007,192.580002,192.580002,126463800
2023/4/3,199.910004,202.690002,192.199997,194.770004,194.770004,169545900
2023/3/31,197.529999,207.789993,197.199997,207.460007,207.460007,169638500
2023/3/30,195.580002,197.330002,194.419998,195.279999,195.279999,110252200
2023/3/29,193.130005,195.289993,189.440002,193.880005,193.880005,123660000
2023/3/28,192,192.350006,185.429993,189.190002,189.190002,98654600
2023/3/27,194.419998,197.389999,189.940002,191.809998,191.809998,120851600
2023/3/24,191.649994,192.360001,187.149994,190.410004,190.410004,116531600
2023/3/23,195.259995,199.309998,188.649994,192.220001,192.220001,144193900
2023/3/22,199.300003,200.660004,190.949997,191.149994,191.149994,150376400
2023/3/21,188.279999,198,188.039993,197.580002,197.580002,153391400
2023/3/20,178.080002,186.440002,176.350006,183.25,183.25,129684400
2023/3/17,184.520004,186.220001,177.330002,180.130005,180.130005,133197100
2023/3/16,180.369995,185.809998,178.839996,184.130005,184.130005,121136800
2023/3/15,180.800003,182.339996,176.029999,180.449997,180.449997,145995600
2023/3/14,177.309998,183.800003,177.139999,183.259995,183.259995,143717900
2023/3/13,167.460007,177.350006,163.910004,174.479996,174.479996,167790300
2023/3/10,175.130005,178.289993,168.440002,173.440002,173.440002,191488900
2023/3/9,180.25,185.179993,172.509995,172.919998,172.919998,170023800
2023/3/8,185.039993,186.5,180,182,182,151897800
2023/3/7,191.380005,194.199997,186.100006,187.710007,187.710007,148125800
2023/3/6,198.539993,198.600006,192.300003,193.809998,193.809998,128100100
2023/3/3,194.800003,200.479996,192.880005,197.789993,197.789993,154193300
2023/3/2,186.740005,193.75,186.009995,190.899994,190.899994,181500700
2023/3/1,206.210007,207.199997,198.520004,202.770004,202.770004,156852800
2023/2/28,210.589996,211.229996,203.75,205.710007,205.710007,153144900
2023/2/27,202.029999,209.419998,201.259995,207.630005,207.630005,161028300
2023/2/24,196.330002,197.669998,192.800003,196.880005,196.880005,142228100
2023/2/23,203.910004,205.139999,196.330002,202.070007,202.070007,146360000
2023/2/22,197.929993,201.990005,191.779999,200.860001,200.860001,191828500
2023/2/21,204.990005,209.710007,197.220001,197.369995,197.369995,180018600
2023/2/17,199.990005,208.440002,197.5,208.309998,208.309998,213738500
2023/2/16,210.779999,217.649994,201.839996,202.039993,202.039993,229586500
2023/2/15,211.759995,214.660004,206.110001,214.240005,214.240005,181006400
2023/2/14,191.940002,209.820007,189.440002,209.25,209.25,216455700
2023/2/13,194.419998,196.300003,187.610001,194.639999,194.639999,172475500
2023/2/10,202.229996,206.199997,192.889999,196.889999,196.889999,204754100
2023/2/9,207.779999,214,204.770004,207.320007,207.320007,215431400
2023/2/8,196.100006,203,194.309998,201.289993,201.289993,180673600
2023/2/7,196.429993,197.5,189.550003,196.809998,196.809998,186010300
2023/2/6,193.009995,198.169998,189.919998,194.759995,194.759995,186188100
2023/2/3,183.949997,199,183.690002,189.979996,189.979996,232662000
2023/2/2,187.330002,196.75,182.610001,188.270004,188.270004,217448300
2023/2/1,173.889999,183.809998,169.929993,181.410004,181.410004,213806300
2023/1/31,164.570007,174.300003,162.779999,173.220001,173.220001,196813500
2023/1/30,178.050003,179.770004,166.5,166.660004,166.660004,230878800
2023/1/27,162.429993,180.679993,161.169998,177.899994,177.899994,306590600
2023/1/26,159.970001,161.419998,154.759995,160.270004,160.270004,234815100
2023/1/25,141.910004,146.410004,138.070007,144.429993,144.429993,192734300
2023/1/24,143,146.5,141.100006,143.889999,143.889999,158699100
2023/1/23,135.869995,145.380005,134.270004,143.75,143.75,203119200
2023/1/20,128.679993,133.509995,127.349998,133.419998,133.419998,138858100
2023/1/19,127.260002,129.990005,124.309998,127.169998,127.169998,170291900
2023/1/18,136.559998,136.679993,127.010002,128.779999,128.779999,195680300
2023/1/17,125.699997,131.699997,125.019997,131.490005,131.490005,186477000
2023/1/13,116.550003,122.629997,115.599998,122.400002,122.400002,180714100
2023/1/12,122.559998,124.129997,117,123.559998,123.559998,169400900
2023/1/11,122.089996,125.949997,120.510002,123.220001,123.220001,183810800
2023/1/10,121.07,122.760002,114.919998,118.849998,118.849998,167642500
2023/1/9,118.959999,123.519997,117.110001,119.769997,119.769997,190284000
2023/1/6,103,114.389999,101.809998,113.059998,113.059998,220911100
2023/1/5,110.510002,111.75,107.160004,110.339996,110.339996,157986300
