Date,Open,High,Low,Close,Adj Close,Volume
2023/4/17,105.43,106.709999,105.32,106.419998,106.419998,29043400
2023/4/14,107.690002,109.580002,107.589996,109.459999,109.459999,20745400
2023/4/13,106.470001,108.264999,106.440002,108.190002,108.190002,21650700
2023/4/12,107.389999,107.586998,104.970001,105.220001,105.220001,22761600
2023/4/11,106.919998,107.220001,105.279999,106.120003,106.120003,18721300
2023/4/10,107.389999,107.970001,105.599998,106.949997,106.949997,19741500
2023/4/6,105.769997,109.629997,104.815002,108.900002,108.900002,34684200
2023/4/5,106.120003,106.540001,104.101997,104.949997,104.949997,21864200
2023/4/4,104.839996,106.099998,104.599998,105.120003,105.120003,20377200
2023/4/3,102.669998,104.949997,102.379997,104.910004,104.910004,20719900
2023/3/31,101.709999,104.190002,101.440002,104,104,28086500
2023/3/30,101.440002,101.610001,100.290001,101.32,101.32,25009800
2023/3/29,102.720001,102.82,101.029999,101.900002,101.900002,26148300
2023/3/28,103,103,100.279999,101.360001,101.360001,24913500
2023/3/27,105.32,105.400002,102.629997,103.059998,103.059998,25393400
2023/3/24,105.739998,106.160004,104.739998,106.059998,106.059998,25245000
2023/3/23,105.889999,107.100998,105.410004,106.260002,106.260002,31385800
2023/3/22,105.139999,107.510002,104.209999,104.220001,104.220001,32336900
2023/3/21,101.980003,105.959999,101.860001,105.839996,105.839996,33122800
2023/3/20,101.059998,102.580002,100.790001,101.93,101.93,26033900
2023/3/17,100.839996,103.489998,100.75,102.459999,102.459999,76140300
2023/3/16,96.57,101.970001,95.870003,101.07,101.07,54499500
2023/3/15,93.540001,97.25,93.040001,96.550003,96.550003,38367300
2023/3/14,93.07,94.830002,92.779999,94.25,94.25,32303900
2023/3/13,90.565002,93.080002,89.940002,91.660004,91.660004,31508600
2023/3/10,92.5,93.18,90.800003,91.010002,91.010002,32850100
2023/3/9,94.489998,95.919998,92.355003,92.660004,92.660004,24438900
2023/3/8,94.404999,96.239998,94.404999,94.650002,94.650002,25395200
2023/3/7,95.419998,96.089996,93.844002,94.169998,94.169998,24101500
2023/3/6,94.360001,96.300003,94.300003,95.580002,95.580002,28288200
2023/3/3,92.739998,94.110001,92.660004,94.019997,94.019997,30242500
2023/3/2,89.860001,92.480003,89.769997,92.309998,92.309998,23328600
2023/3/1,90.160004,91.199997,89.849998,90.510002,90.510002,26323900
2023/2/28,89.540001,91.449997,89.519997,90.300003,90.300003,30546900
2023/2/27,90.089996,90.449997,89.610001,90.099998,90.099998,22724300
2023/2/24,89.629997,90.129997,88.860001,89.349998,89.349998,31295600
2023/2/23,92.129997,92.129997,90.010002,91.07,91.07,32423700
2023/2/22,91.933998,92.360001,90.870003,91.800003,91.800003,29891100
2023/2/21,93.239998,93.415001,92,92.050003,92.050003,28367200
2023/2/17,95.07,95.75,93.449997,94.589996,94.589996,31095100
2023/2/16,95.540001,97.879997,94.970001,95.779999,95.779999,35642100
2023/2/15,94.739998,97.339996,94.360001,97.099998,97.099998,36964500
2023/2/14,94.660004,95.175003,92.650002,94.949997,94.949997,42513100
2023/2/13,95.010002,95.349998,94.050003,95,95,43116600
2023/2/10,95.739998,97.019997,94.529999,94.860001,94.860001,49325300
2023/2/9,100.540001,100.610001,93.860001,95.459999,95.459999,97798600
2023/2/8,102.690002,103.580002,98.455002,100,100,73546000
2023/2/7,103.629997,108.669998,103.547997,108.040001,108.040001,33738800
2023/2/6,102.684998,104.699997,102.209999,103.470001,103.470001,25573000
2023/2/3,103.510002,108.019997,103.300003,105.220001,105.220001,36823400
2023/2/2,106.790001,108.82,106.540001,108.800003,108.800003,46622600
2023/2/1,99.739998,102.190002,98.419998,101.43,101.43,26392600
2023/1/31,97.860001,99.910004,97.790001,99.870003,99.870003,22306800
2023/1/30,98.745003,99.408997,97.519997,97.949997,97.949997,24365100
2023/1/27,99.050003,101.580002,98.970001,100.709999,100.709999,29020400
2023/1/26,98.279999,99.209999,96.82,99.160004,99.160004,24542100
2023/1/25,97.199997,97.720001,95.262001,96.730003,96.730003,31000900
2023/1/24,99.550003,101.089996,98.699997,99.209999,99.209999,27391400
2023/1/23,99.129997,101.400002,98.75,101.209999,101.209999,31791800
2023/1/20,95.949997,99.419998,95.910004,99.279999,99.279999,53704800
2023/1/19,91.389999,94.400002,91.379997,93.910004,93.910004,28707700
2023/1/18,92.940002,93.587997,91.400002,91.779999,91.779999,19641600
2023/1/17,92.779999,92.970001,90.839996,92.160004,92.160004,22935800
2023/1/13,91.528,92.980003,90.93,92.800003,92.800003,18630700
2023/1/12,92.400002,92.620003,90.57,91.910004,91.910004,22754200
2023/1/11,90.059998,92.449997,89.739998,92.260002,92.260002,25998800
2023/1/10,86.720001,89.474998,86.699997,89.239998,89.239998,22855600
2023/1/9,89.195,90.830002,88.580002,88.800003,88.800003,22996700
2023/1/6,87.360001,88.470001,85.57,88.160004,88.160004,26612600
2023/1/5,88.07,88.209999,86.559998,86.769997,86.769997,23136100
2023/1/4,91.010002,91.239998,87.800003,88.709999,88.709999,27046500
2023/1/3,89.830002,91.550003,89.019997,89.699997,89.699997,20738500
2022/12/30,87.364998,88.830002,87.029999,88.730003,88.730003,19190300
2022/12/29,87.029999,89.364998,86.989998,88.949997,88.949997,18280700
2022/12/28,87.5,88.519997,86.370003,86.459999,86.459999,17879600
2022/12/27,89.309998,89.5,87.535004,87.93,87.93,15470900
2022/12/23,87.620003,90.099998,87.620003,89.809998,89.809998,17815000
2022/12/22,88.93,89.18,86.940002,88.260002,88.260002,23656100
2022/12/21,89.730003,90.915001,88.910004,90.25,90.25,20336400
2022/12/20,88.730003,89.779999,88.040001,89.629997,89.629997,21976800
2022/12/19,90.879997,91.199997,88.925003,89.150002,89.150002,23020500
2022/12/16,91.199997,91.75,90.010002,90.860001,90.860001,48485500
2022/12/15,93.540001,94.029999,90.43,91.199997,91.199997,28298800
2022/12/14,95.540001,97.220001,93.940002,95.309998,95.309998,26452900
2022/12/13,98.07,99.800003,95.379997,95.849998,95.849998,34788500
2022/12/12,93.089996,93.875,91.900002,93.559998,93.559998,27380900
2022/12/9,93.900002,94.489998,93.019997,93.07,93.07,21885300
2022/12/8,95.690002,95.870003,93.800003,93.949997,93.949997,25593200
2022/12/7,96.769997,97.309998,95.025002,95.150002,95.150002,26647900
2022/12/6,99.669998,100.209999,96.760002,97.309998,97.309998,20877600
2022/12/5,99.815002,101.75,99.355003,99.870003,99.870003,19955500
2022/12/2,99.370003,101.150002,99.169998,100.830002,100.830002,18821500
2022/12/1,101.400002,102.589996,100.669998,101.279999,101.279999,21771500
2022/11/30,95.120003,101.449997,94.669998,101.449997,101.449997,39888100
2022/11/29,96,96.389999,94.389999,95.440002,95.440002,20220000
2022/11/28,97.199997,97.830002,95.889999,96.25,96.25,19974500
2022/11/25,98.464996,98.940002,97.529999,97.599998,97.599998,8567800
2022/11/23,97.339996,99.069,97.339996,98.82,98.82,17568900
2022/11/22,96.160004,97.547997,94.410004,97.330002,97.330002,18868900
2022/11/21,97.559998,98.720001,95.669998,95.830002,95.830002,18696900
2022/11/18,99.010002,99.160004,96.739998,97.800003,97.800003,24969900
2022/11/17,97.18,99.480003,97.099998,98.5,98.5,21818700
2022/11/16,98.019997,99.849998,97.902,98.989998,98.989998,24660200
2022/11/15,98.669998,100.419998,97.019997,98.720001,98.720001,31831000
2022/11/14,95.5,97.18,95.112999,96.029999,96.029999,24170100
2022/11/11,94.709999,97.360001,94.160004,96.730003,96.730003,30569100
2022/11/10,92.339996,94.550003,91.650002,94.169998,94.169998,42371200
2022/11/9,88.544998,89.489998,87.360001,87.400002,87.400002,26743900
2022/11/8,89.160004,90.404999,87.650002,88.910004,88.910004,30172000
2022/11/7,87.339996,88.940002,86.959999,88.650002,88.650002,26899900
2022/11/4,85.510002,86.730003,83.879997,86.699997,86.699997,40173300
2022/11/3,86.345001,86.550003,83.449997,83.489998,83.489998,48510400
2022/11/2,90.910004,91.300003,87.010002,87.07,87.07,43553600
2022/11/1,95.589996,96.165001,90.43,90.5,90.5,43220600
2022/10/31,95.779999,96.349998,94.379997,94.660004,94.660004,29868700
2022/10/28,92.529999,96.860001,92.322998,96.580002,96.580002,35696900
2022/10/27,94.309998,95.169998,91.900002,92.599998,92.599998,54036500
2022/10/26,96.760002,98.540001,94.57,94.82,94.82,71504300
2022/10/25,103.300003,105.099998,103.019997,104.93,104.93,29910200
2022/10/24,102.089996,103.099998,100.300003,102.970001,102.970001,24680800
2022/10/21,98.459999,101.620003,98.230003,101.480003,101.480003,28988700
2022/10/20,100.82,103,99.970001,100.529999,100.529999,25125100
2022/10/19,100.699997,101.658997,99.635002,100.290001,100.290001,21573700
2022/10/18,103.940002,104.220001,100.650002,101.389999,101.389999,21610500
2022/10/17,99.519997,101.769997,99.510002,100.779999,100.779999,23311600
2022/10/14,100.625,101.290001,97.029999,97.18,97.18,22624800
2022/10/13,95.93,100.529999,95.269997,99.709999,99.709999,32812200
2022/10/12,98.269997,99.648003,97.669998,98.300003,98.300003,17343400
2022/10/11,98.25,100.120003,97.25,98.050003,98.050003,21617700
2022/10/10,99.849998,99.989998,97.870003,98.709999,98.709999,16529900
2022/10/7,100.650002,101.419998,99.209999,99.57,99.57,24249900
2022/10/6,101.5,103.730003,101.5,102.239998,102.239998,17156200
2022/10/5,100.690002,102.739998,99.739998,102.220001,102.220001,18475500
2022/10/4,101.040001,102.720001,101.040001,102.410004,102.410004,22580900
2022/10/3,97.220001,99.970001,97.019997,99.300003,99.300003,24840000
2022/9/30,97.730003,99.494003,96.029999,96.150002,96.150002,26277800
2022/9/29,99.300003,99.300003,96.519997,98.089996,98.089996,21921500
2022/9/28,98.019997,101.400002,97.800003,100.739998,100.739998,24617000
2022/9/27,99.910004,100.459999,97.339996,98.089996,98.089996,24225000
2022/9/26,98.610001,100.440002,98.379997,98.809998,98.809998,22437900
2022/9/23,100.059998,100.110001,98.010002,99.169998,99.169998,25657000
2022/9/22,99.449997,101.68,99.410004,100.57,100.57,21272700
2022/9/21,102.239998,103.489998,99.989998,100.010002,100.010002,26596800
2022/9/20,102.879997,103.169998,101.120003,101.830002,101.830002,24001700
2022/9/19,102.540001,104.019997,102.370003,103.849998,103.849998,19738600
2022/9/16,102.970001,104.029999,101.855003,103.629997,103.629997,64540100
2022/9/15,105.010002,106.209999,103.309998,103.900002,103.900002,26494900
2022/9/14,105.440002,106.099998,104.5,105.870003,105.870003,22115800
2022/9/13,108.889999,109.370003,105,105.309998,105.309998,33015000
2022/9/12,111.989998,112.639999,110.93,111.870003,111.870003,19732900
2022/9/9,110.050003,112,110,111.779999,111.779999,21732900
2022/9/8,109.18,110.580002,108.059998,109.419998,109.419998,21660700
2022/9/7,107.760002,110.989998,107.614998,110.480003,110.480003,22987200
2022/9/6,108.135002,108.879997,106.510002,107.480003,107.480003,20565100
